5471.51534 17.791 0.018
5471.58377 17.584 0.015
5472.54340 17.919 0.022
5472.54945 17.841 0.022
5473.49911 17.854 0.021
5476.49032 17.644 0.020
5477.53733 17.639 0.019
5479.50653 17.933 0.023
5480.48841 17.724 0.023
5480.55745 17.880 0.026
5481.52814 17.779 0.026
5483.51688 17.635 0.035
5486.49655 17.918 0.033
5487.54293 17.798 0.024
5488.53012 17.672 0.020
5489.51650 17.612 0.021
5490.51665 17.884 0.034
5494.52675 17.814 0.031
5595.86387 17.764 0.020
5596.85861 17.892 0.020
5598.85338 17.779 0.016
5599.85414 17.659 0.015
5600.85062 17.652 0.016
5601.88615 17.632 0.020
5602.85867 17.896 0.023
5604.86694 17.771 0.020
5605.86501 17.689 0.013
5606.86274 17.597 0.014
5607.86594 17.610 0.013
5610.88722 17.857 0.020
5614.84706 17.816 0.019
5615.85538 17.892 0.018
5616.84754 17.823 0.022
5620.81205 17.932 0.022
5621.83898 17.923 0.017
5622.87358 17.932 0.014
5625.81114 17.639 0.015
5626.80149 17.932 0.025
5627.83542 17.953 0.017
5629.81434 17.745 0.015
5630.79175 17.628 0.014
5631.79753 17.586 0.020
5632.82678 17.673 0.015
5633.78248 17.906 0.016
5635.84628 17.858 0.019
5637.79983 17.673 0.019
5638.78624 17.838 0.020
5639.78180 17.904 0.020
5639.85754 17.623 0.013
5640.78645 17.831 0.022
5640.82477 17.903 0.019
5640.87244 17.729 0.015
5640.91334 17.633 0.020
5641.77926 17.721 0.016
5641.82164 17.852 0.018
5641.85984 17.944 0.019
5641.90448 17.851 0.018
5642.78157 17.629 0.016
5642.84059 17.799 0.017
5642.90047 17.925 0.020
5643.75611 17.677 0.018
5643.79430 17.676 0.017
5643.85416 17.748 0.015
5643.89501 17.812 0.015
5644.76004 17.834 0.052
5644.81347 17.670 0.016
5644.87124 17.676 0.016
5647.76726 17.770 0.017
5647.85069 17.848 0.016
5647.86732 17.872 0.018
5647.88331 17.864 0.019
5647.90114 17.720 0.020
5648.74585 17.626 0.018
5648.80837 17.778 0.014
5648.85239 17.815 0.013
5648.89561 17.907 0.017
5649.75165 17.631 0.013
5649.79083 17.637 0.012
5649.85827 17.826 0.014
5649.89678 17.893 0.015
5650.74200 17.849 0.016
5650.78271 17.642 0.011
5650.84507 17.681 0.012
5650.88925 17.737 0.015
5651.76436 17.859 0.015
5651.80703 17.717 0.013
5651.87765 17.652 0.014
5652.74445 17.819 0.014
5652.80589 17.873 0.013
5652.84819 17.714 0.012
5653.90196 17.666 0.011
5706.65863 17.944 0.020
5706.75515 17.670 0.018
5787.64732 17.593 0.015
5802.57704 17.894 0.020
5807.54994 17.899 0.021
5846.50048 17.724 0.028
5990.81764 17.631 0.016
5991.80546 17.715 0.020
5991.83362 17.631 0.013
5992.80310 17.849 0.020
5992.82338 17.858 0.018
5992.83648 17.730 0.014
